STN#2  99001003  66  45  41   8  45 105  58  64  76  26  59  20  22   0 -35   0  39  57 142 168 199 142 194 204 144 113 114 108  95 146 118
STN#2  99002003  73  57  91  38  39  65 137 139 125 171 155 157 178 147 145 133 133 130  98 133 117  75  57  89  58  75 116 120
STN#2  99003003 106  37  10  96 106  69  55 128  64  80  57  45  32  66 105 149 116  83 143 214 150 136 121 120 176 193 206 156 171 199 202
STN#2  99004003 160 231 209 128 120  82  86 115  62 176 116 112 147 185 153 188 234 249 275 258 266 194 178 169 175 164 187 154 154 187
STN#2  99005003 169 186 186 224 215 231 210 199 229 183 200 221 222 198 238 215 199 211 219 207 176 214 214 171 193 177 218 233 226 259 251
STN#2  99006003 253 301 262 230 241 267 264 261 263 263 274 276 239 224 225 243 273 288 250 263 267 271 268 272 273 278 266 260 270 271
STN#2  99007003 254 254 254 254 273 279 275 284 287 280 275 271 293 297 304 293 285 293 284 296 290 295 295 279 270 270 260 246 245 235 244
STN#2  99008003 254 256 248 242 239 253 268 278 286 297 280 290 258 238 236 217 231 263 247 224 259 260 264 264 263 249 243 235 221 220 211
STN#2  99009003 211 220 225 250 199 198 194 194 193 199 207 212 167 183 207 193 248 233 235 233 236 224 219 239 228 201 243 232 259 229
STN#2  99010003 214 198 196 240 189 229 248 220 249 250 242 242 186 168 184 194 151 172 159 140 182 129 119 116 126 183 193 169 178 161 191
STN#2  99011003 195 160 166 195 174 194 172 189 202 218 225 210 190 161 215 208 174 109 155 154  90  86  57  70 110 146  85  87 157  87
STN#2  99012003 131  82 111  63  74 119  86  99 126  62  13  -7 -46 -57  39 108 143  64  31 -40 -25  63 123 167 158 143 137 192 169 176 116
STN#2  99101003 115  68  66  57  85 114 114  57  -7   0 -56   3 -64 -58 -32   1  36  63  80  50  79  38  56  12  15 -24  50  63  24  10  51
STN#2  99102003  86  50  29  65  44  53  87 102 149 125 106 115  52   7  63  91  16  25  66  76  73  38  67  77  52  47  86  47
STN#2  99103003  42  58  21  22  10  95 156 153 144 117 101 143 175 187 122 145 175 147  76  58  54  98 103 185 218 206 220 157 176 166 190
STN#2  99104003 168 178 197 179 135 136 139 157 171 147 194 265 234 253 202 170 131 175 191 136 194 210 237 266 227 171 169 133 209 203
STN#2  99105003 184 208 153 207 242 192 200 222 225 213 215 206 187 152 136 121 134 160 164 207 211 241 227 207 208 213 218 226 177 207 223
STN#2  99106003 219 206 190 187 240 243 251 256 275 271 261 262 244 240 224 223 215 212 239 251 261 276 266 273 263 246 250 262 278 295
STN#2  99107003 267 278 271 271 284 280 267 284 292 294 306 287 293 270 269 264 260 276 269 259 263 267 281 276 289 282 278 265 282 279 269
STN#2  99108003 279 270 274 280 274 265 257 271 292 297 266 275 264 279 254 260 243 266 266 263 241 259 276 264 249 241 241 255 244 235 261
STN#2  99109003 288 300 289 281 273 268 253 242 247 256 249 281 303 262 216 214 232 215 208 211 223 190 226 235 236 189 210 211 189 183
STN#2  99110003 151 147 188 150 168 158 176 177 166 165 141 162 197 233 269 244 238 219 237 225 217 189 146 128 139 167 177 150 114 105 117
STN#2  99111003 130 100 112 162 157 158 140 162  68 134 145 117  64 103 131 153 119 114 140 137 130 141  63  22 113  88 133 172 184 157
STN#2  99112003 170 174 220 130  80 111 122  35 -15 -37   2 -31 -24  19 -12  17  79  24 -23  22  34  72  94  77  59  21 -20 -54   8  97 107
 

